model,accuracy,precision,recall,f1,roc_auc
GradientBoosting (tuned),0.9195088676671214,0.8734835355285961,0.918032786885246,0.8952042628774423,0.9718492828241296
RandomForest (tuned),0.9167803547066848,0.8505747126436781,0.9435336976320584,0.8946459412780656,0.971233510715428
LogisticRegression (baseline),0.7755798090040927,0.6455026455026455,0.8888888888888888,0.7478927203065134,0.8799601933127148
